id, question, answer
195, 手, hand
196, 週, week
197, 習, learn
198, 住, live - reside - dwell 
199, 春, spring - spring (season) 
200, 正, correct - right - justice 
201, 少, few - little 
202, 場, area - location - place 
203, 知, know - wisdom 
204, 真, true - reality - truth 
205, 図, map - drawing - plan 
206, 世, world - society - generation 
207, 夕, evening
208, 走, run
209, 族, tribe - family 
210, 注, pour - flow - concentrate 
211, 田, field - rice field - rice patty 
212, 台, stand - stage - pedestal 
213, 待, wait - depend on 
214, 題, topic - subject 
215, 度, degree - time - times occurred 
216, 立, stand - stand up 
217, 旅, trip - travel 
218, 力, power - strength - exertion 
219, 昼, noon - daytime - day 
220, 町, town - village 
221, 鳥, bird
222, 店, store - shop - problem 
223, 問, question - ask 
224, 冬, winter - winter (season) - course 
225, 道, way - road 
226, 堂, hall
227, 特, special
228, 肉, meat
229, 野, plains - field 
230, 発, depart - start - happen 
231, 飯, meal - rice - cooked rice 
232, 病, ill - sick 
233, 不, non - negative - bad 
234, 服, clothing - obey 
235, 物, thing - matter - object 
236, 文, sentence - literature 
237, 別, separate - another - specially 
238, 勉, exertion
239, 目, eye
240, 用, use - service - business 
241, 夜, night - evening 
242, 曜, weekday
243, 洋, west - western - ocean 
244, 理, logic - reason - truth 
245, 料, fee - materials 
246, 相, mutual - appearance - minister (of state) 
247, 愛, love - affection 
248, 合, together - fit - to be together 
249, 商, sell - trade 
250, 浅, shallow - superficial 
251, 預, keep - charge - deposit 
252, 汗, sweat - perspiration 
253, 遊, play - idle - playful 
254, 値, value - price - to value 
255, 与, give - award - assign 
256, 温, warm - temperature 
257, 暖, warm - cordial 
258, 頭, head - top 
259, 辺, vicinity - neighborhood 
260, 当, hit - win - guess 
261, 圧, pressure
262, 暑, heat - hot - summer heat 
263, 熱, heat - hot - fever 
264, 厚, thick
265, 跡, trace - marks - remains 
266, 暴, disclose - open - violent 
267, 浴, bathe
268, 危, dangerous - unsafe - unsteady 
269, 油, oil
270, 脂, fat
271, 甘, sweet
272, 余, remain - remainder - to leave over 
273, 編, compile - knit 
274, 過, fault - exceed - pass 
275, 誤, mistake - fault 
276, 荒, violent - wild - rough 
277, 洗, wash
278, 争, struggle - quarrel - dispute 
279, 改, change - reform - reformed 
280, 表, show - list - schedule 
281, 現, actual - appear 
282, 著, author - writer - remarkable 
283, 在, exist - country - suburbs 
284, 暗, dark
285, 委, commit - entrust 
286, 衣, clothes - garments 
287, 囲, enclose - surround 
288, 位, rank - position - about 
289, 胃, stomach
290, 易, easy
291, 移, transfer - infect - move 
292, 依, depend - depend on 
293, 偉, great - remarkable 
294, 違, differ - wrong 
295, 怒, anger - get angry - angry 
296, 息, breath
297, 域, boundary
298, 勢, power
299, 幾, how many - some 
300, 育, bring up - educate - grow 
301, 戦, war
302, 池, pond
303, 勇, brave
304, 石, stone - rock 
305, 泉, spring
306, 忙, busy
307, 板, board - plate 
308, 痛, pain - hurt 
309, 抱, hug - hold 
310, 頂, summit - receive - summit (mountain) 
311, 市, market - city 
312, 糸, thread
313, 営, manage - barracks 
314, 否, no - denial 
315, 命, life - order 
316, 祈, pray - to pray - prayer 
317, 要, require - necessary 
318, 居, reside
319, 岩, rock - crag 
320, 祝, celebrate
321, 引, draw - pull 
322, 印, sign - mark 
323, 因, cause
324, 羽, feather - wing 
325, 宇, universe - eaves - house 
326, 初, first - beginning - begin 
327, 植, plant - to plant - set up 
328, 伺, ask - visit - hear 
329, 浮, float - to float - come to mind 
330, 受, receive - popularity - receptacle 
331, 承, hear - agree 
332, 失, lose - slip 
333, 薄, thin - pale - weak 
334, 疑, doubt - suspect - suspicion 
335, 内, inside
336, 打, strick - hit - beat 
337, 美, beautiful - beauty 
338, 器, vessel - tool 
339, 腕, arm - talent - ability 
340, 産, childbearing - product - birth 
341, 馬, horse
342, 埋, bury - fill - fill up 
343, 敬, respect
344, 裏, opposite - back - reverse 
345, 占, divination - to hold (a seat) - occupy 
346, 得, acquire - gain 
347, 絵, picture
348, 回, turn - to turn 
349, 泳, swim
350, 栄, glory - flourish 
351, 永, eternal
352, 鋭, sharp
353, 役, office - duty - service 
354, 液, liquid
355, 枝, branch - tree branch 
356, 越, exceed - cross - move 
357, 笑, laugh - smile 
358, 選, choose - choice 
359, 園, garden
360, 遠, far
361, 塩, salt
362, 演, act - perform - put on a play 
363, 延, postpone - extend 
364, 煙, smoke - smokey 
365, 緒, cord - string (of a musical instrument) - beginning (lineage) 
366, 汚, soil - dirty - get dirty 
367, 和, peace - Japan - sum 
368, 老, old
369, 負, lose - defeated - to bear 
370, 追, chase
371, 王, king
372, 黄, yellow
373, 央, center - middle 
374, 横, side - width - beside 
375, 欧, europe - european 
376, 押, push
377, 奥, interior - depths - inner 
378, 犯, violate - offense - to commit 
379, 拝, worship - humbly 
380, 補, supply - supplement - compensate 
381, 置, place - put 
382, 億, hundred million
383, 遅, slow - late 
384, 贈, gift - present - to present 
385, 幼, childish - young 
386, 治, rule - govern - cure 
387, 収, obtain - to store - pay (taxes) 
388, 恐, fear - anxiety - fearful 
389, 落, fall - to fall - drop 
390, 夫, husband - man 
391, 訪, visit
392, 踊, dance - to dance 
393, 各, each - every 
394, 帯, belt - region - to wear 
395, 覚, remember - understand 
396, 面, face - surface - front 
397, 折, break - fold 
398, 降, fall - come down - get off 
399, 御, honorific prefix
400, 香, fragrance - smell 
401, 科, subject of study
402, 化, change - change into 
403, 荷, load
404, 加, add
405, 果, fruit - end 
406, 貨, money - goods 
407, 課, section - lesson 
408, 可, possible - approve 
409, 河, river
410, 菓, candy - confectionery 
411, 靴, shoes
412, 貝, shell - shellfish 
413, 階, floor (of a building) - rank 
414, 械, machine
415, 快, pleasant
416, 解, explanation - solve - dissolve 
417, 灰, ashes
418, 介, mediate - aid - come between 
419, 皆, all - everyone - everything 
420, 害, harm - calamity 
421, 交, mix - be mixed - associate 
422, 返, return
423, 省, government department - omit - reflect upon 
424, 変, change - abnormal - strange 
425, 替, replace
426, 換, exchange
427, 係, connect - in charge 
428, 掛, hang - catch - call 
429, 限, limit
430, 欠, lack
431, 角, angle - corner - horn 
432, 客, guest - customer 
433, 格, norm - status 
434, 確, certain - make certain 
435, 革, leather - reform 
436, 額, amount - forehead 
437, 賢, wise - clever - smart 
438, 数, count - number 
439, 形, shape - form - type 
440, 型, type
441, 片, fragment - onesided 
442, 肩, shoulder
443, 固, solid - firm - hard 
444, 難, difficult - hard - disaster 
445, 硬, hard
446, 堅, firm - - hard 
447, 傾, incline - lean 
448, 勝, win - excel 
449, 活, active - live - activity 
450, 割, divide
451, 担, bear - undertake 
452, 門, gate
453, 悲, sad
454, 必, without fail
455, 彼, he - that 
456, 構, structure - posture - construct 
457, 神, God - god - mind 
458, 髪, hair
459, 辛, spicy - hot (food) - hard 
460, 枯, dry - wither - to dry 
461, 絡, entwine - to twine around 
462, 軽, light - light (weight) 
463, 皮, skin
464, 側, side
465, 乾, dry
466, 寒, cold
467, 感, feeling - sense - feel 
468, 完, complete - perfect 
469, 官, government
470, 管, pipe - control 
471, 関, concern - barrier 
472, 観, view
473, 刊, publish
474, 慣, habit - custom - get used to 
475, 干, dry
476, 巻, roll up - volume - roll 
477, 簡, simple
478, 缶, can
479, 患, sickness - sick 
480, 丸, round
481, 岸, shore - seashore 
482, 願, wish - ask a favor - desire 
483, 含, contain - include 
484, 記, write down - record 
485, 期, term - expect 
486, 希, rare - aspire - desire 
487, 季, season - season (of the year) 
488, 喜, joy - happy 
489, 機, machine - occation 
490, 規, rule - regulation 
491, 寄, approach - gather - contribute 
492, 机, desk
493, 議, discuss - debate 
494, 技, skill
495, 消, extinguish - put out - spend 
496, 利, advantage - profit 
497, 効, effect - efficancy 
498, 兆, trillion - sign - symptom 
499, 刻, engrave - carve 
500, 築, build - construct - construction 
501, 競, compete (in a race)
502, 喫, inhale - drink 
503, 詰, cram - shorten 
504, 決, decide - be decided 
505, 君, you - ruler - added to names of boys 
506, 逆, reverse - opposite 
507, 級, grade - level 
508, 球, ball
509, 求, seek - search 
510, 泣, cry
511, 救, rescue - save 
512, 給, supply - pay 
513, 久, long time
514, 旧, old - former 
515, 吸, suck - breathe in 
516, 許, permit - pardon - forgive 
517, 漁, fish
518, 清, clean - clear - pure 
519, 橋, bridge
520, 共, together
521, 協, cooperate
522, 経, manage - passage - circles of longitude 
523, 境, boundary - border line 
524, 供, attendant - offer 
525, 胸, chest - chest (body part) 
526, 叫, shout
527, 況, condition - state of things 
528, 狭, narrow
529, 挟, hold between - clasp 
530, 曲, music - song - curve 
531, 局, bureau - segment 
532, 極, extreme - poles (north or south) 
533, 玉, gem - jewel 
534, 際, verge - occation 
535, 均, even - level 
536, 禁, prohibit - not allowed 
537, 勤, service
538, 区, district - ward 
539, 苦, suffering - bitter - painful 
540, 庫, storehouse - warehouse 
541, 紅, crimson
542, 具, tool - utensil - ingredient 
543, 偶, chance - even numbers - by chance 
544, 隅, nook - corner 
545, 草, grass
546, 薬, medicine - drug 
547, 掘, dig
548, 配, distribute - deliver 
549, 首, head - neck 
550, 組, organize - assemble 
551, 曇, cloudy
552, 蔵, store - warehouse - own 
553, 暮, dusk - grow dark - live 
554, 比, compare
555, 訓, instruct
556, 軍, army - military 
557, 群, group - crowd 
558, 毛, hair
559, 景, scene
560, 警, guard - warn 
561, 芸, art - skill 
562, 迎, meet - welcome 
563, 劇, drama
564, 血, blood
565, 結, tie - conclude 
566, 険, danger - steep 
567, 県, prefecture
568, 件, matter
569, 券, ticket - certificate - coupon 
570, 検, examine
571, 権, right - power 
572, 軒, eaves
573, 原, original - plain 
574, 減, decrease
575, 粉, powder
576, 戸, door
577, 湖, lake
578, 個, individual
579, 呼, call
580, 雇, employ - hire 
581, 互, reciprocal - mutual - each other 
582, 恋, love
583, 濃, thick
584, 光, light
585, 向, turn toward - turn 
586, 幸, happy - happiness 
587, 港, port - harbor 
588, 好, like - favorable 
589, 航, navigate
590, 候, season - serve 
591, 耕, till - plow - cultivate 
592, 鉱, ore - mine 
593, 講, lecture
594, 更, retextframe - change - reform 
595, 肯, assent - consent 
596, 郊, suburb
597, 号, number - signal - sign 
598, 被, wear (hat) - suffer (damage) 
599, 声, voice
600, 超, surpass - very - super 
601, 氷, ice
602, 凍, freeze
603, 谷, valley
604, 告, notify
605, 腰, waist - hip 
606, 骨, bone
607, 断, resolve - cut off 
608, 細, small - slender - thin 
609, 困, trouble - be in trouble 
610, 込, crowded - into 
611, 米, rice - america 
612, 殺, kill
613, 怖, fear - fearful - scared 
614, 根, root
615, 混, mix - blend - associate with 
616, 婚, marry - marriage 
617, 差, difference
618, 査, look into - investigate 
619, 砂, sand
620, 再, repeat - again - another time 
621, 座, seat - sit down - constellation 
622, 才, talent - age 
623, 祭, festival
624, 菜, vegetable
625, 最, most - -est 
626, 妻, wife
627, 採, pick - gather 
628, 済, settle - relieve 
629, 歳, year - age - age suffix 
630, 財, wealth
631, 材, timber - materials 
632, 罪, sin - crime 
633, 坂, slope
634, 酒, sake - alcohol 
635, 探, probe - search 
636, 捜, look for - search 
637, 杯, cup - counter for cups 
638, 咲, bloom - come out 
639, 昨, yesterday - last... 
640, 冊, card - volume - counter for books 
641, 支, support - branch 
642, 刺, stab - stab (with a knife) 
643, 指, point - finger 
644, 定, fix - decide - establish 
645, 札, bill - paper money - tag 
646, 刷, print
647, 察, inspect - guess 
648, 雑, mixed - rough 
649, 様, mode - formal title - Mr. / Mrs. 
650, 冷, cold
651, 皿, plate - dish 
652, 触, touch - feel 
653, 算, calculate
654, 参, attend
655, 散, scatter
656, 賛, approve - praise 
657, 残, remain - ruthless 
658, 次, next
659, 歯, tooth
660, 史, history
661, 示, show - to show 
662, 師, master - teacher 
663, 資, resource
664, 詞, words
665, 誌, magazine
666, 路, road
667, 耳, ear
668, 寺, buddhist temple
669, 児, child
670, 辞, word - resign - retire 
671, 似, look like - resemble 
672, 除, remove
673, 式, ceremony - style 
674, 識, know
675, 直, straight - fix 
676, 静, quiet
677, 滴, drop - drop (of liquid) - trickle 
678, 沈, sink - to sink 
679, 湿, damp
680, 実, real - truth - fruit 
681, 島, island
682, 閉, close
683, 捨, throw away - discard 
684, 昔, old - long ago - former 
685, 弱, weak - weakness 
686, 若, young
687, 守, protect - obey - guard 
688, 取, take
689, 種, seed - variety 
690, 州, state
691, 拾, pick up
692, 周, around - surrounding area 
693, 船, boat - small boat 
694, 柔, soft - soft (to the touch) 
695, 宿, stay - lodge - inn 
696, 述, speak - state 
697, 術, art
698, 順, order - turn - obey 
699, 準, standard - rule - semi 
700, 純, pure - purity 
701, 所, place - area 
702, 処, deal with - manage 
703, 署, government office
704, 諸, many
705, 助, help
706, 章, chapter
707, 焼, burn
708, 象, image - elephant 
709, 照, illuminate
710, 賞, prize - award 
711, 招, invite
712, 性, nature - gender 
713, 将, general officer - general 
714, 装, dress - decoration - adorn 
715, 召, summon
716, 床, floor
717, 姓, surname - family name 
718, 昇, ascend - go up - rise 
719, 紹, intoduce
720, 星, star
721, 政, politics - rule 
722, 精, refine - essence 
723, 乗, ride - get on 
724, 状, form - letter 
725, 常, normal - regular 
726, 情, condition - emotion 
727, 城, castle
728, 蒸, evaporate - steam 
729, 畳, tatami - fold up - fold 
730, 成, become - form - achieve 
731, 職, employment - job 
732, 調, look up - research - tone 
733, 退, retreat
734, 森, forest
735, 申, report - call 
736, 身, body - self 
737, 深, deep
738, 進, advance - move forward 
739, 臣, subject - retainer 
740, 信, believe - message 
741, 針, needle
742, 伸, stretch
743, 寝, sleep - go to sleep 
744, 震, shake - quake 
745, 吹, blow
746, 末, last part - end 
747, 優, gentle - kind - nice 
748, 涼, cool - cool (temp) 
749, 炭, coal - charcoal 
750, 速, fast - quick 
751, 背, back - back (body part) 
752, 晴, fine weather - sunny 
753, 制, system - control 
754, 製, manufactured - made in 
755, 税, tax
756, 説, explain
757, 席, seat
758, 積, accumulate
759, 責, burden - blame 
760, 績, achievements
761, 隻, one of a pair - counter for boats 
762, 籍, register
763, 雪, snow
764, 設, set up
765, 接, contact - touch 
766, 絶, die out - cut off 
767, 線, line
768, 専, exclusive - sole 
769, 全, whole
770, 然, yes - however - but 
771, 祖, ancestor
772, 想, conceive - image - imagination 
773, 総, total - general 
774, 窓, window
775, 層, stratum - layer 
776, 双, set of two - twin - double 
777, 掃, sweep
778, 燥, dry up
779, 造, make - create 
780, 増, increase
781, 像, image
782, 臓, internal organ
783, 憎, hate - dislike 
784, 束, tie - bundle 
785, 則, rule - law - act on 
786, 測, measure
787, 続, continue
788, 底, bottom
789, 損, loss - damage 
790, 卒, graduate
791, 率, rate - percentage - lead 
792, 備, provide
793, 反, counter - against 
794, 村, village
795, 孫, grandchild
796, 存, exist
797, 尊, honor - respect 
798, 太, big - thick - become fat 
799, 袋, sack - bag 
800, 第, rank - no. ~ 
801, 平, flat - calm 
802, 倒, topple - fall over 
803, 宝, treasure
804, 宅, house - home 
805, 濯, rinse
806, 竹, bamboo
807, 達, attain - arrive - plural marker 
808, 例, example
809, 頼, rely on - ask 
810, 卵, egg
811, 民, people
812, 便, post - convenient 
813, 短, short
814, 単, single
815, 談, talk
816, 段, step
817, 乳, milk
818, 恥, shy - shame 
819, 畜, livestock
820, 虫, insect
821, 柱, pillar
822, 仲, intermediary
823, 宙, outer space - space 
824, 駐, stationed
825, 貯, lay up - store 
826, 庁, government agency
827, 珍, rare
828, 都, metropolis - city 
829, 費, expense
830, 捕, catch - arrest 
831, 疲, tired
832, 付, attach - add 
833, 突, dash - thrust 
834, 包, envelop - wrap 
835, 努, exert
836, 務, duty
837, 募, raise
838, 粒, grain
839, 連, link - succession 
840, 庭, court - garden 
841, 低, low
842, 停, stop - halt 
843, 程, extent - span - degree 
844, 泥, mud
845, 的, mark - target - suffix for making adj 
846, 適, suitable
847, 鉄, iron
848, 点, point - mark - dot 
849, 殿, palace - lord 
850, 登, climb
851, 徒, follower
852, 途, way
853, 渡, cross - go across 
854, 塗, apply on a surface
855, 投, throw
856, 等, equal - class 
857, 湯, hot water
858, 灯, lamp
859, 党, party - sect - group 
860, 到, arrive
861, 逃, escape
862, 盗, steal
863, 筒, tube
864, 塔, tower
865, 童, child
866, 働, work
867, 銅, copper - bronze 
868, 導, lead - guide 
869, 溶, dissolve - melt 
870, 毒, poison
871, 独, alone
872, 届, deliver - reach 
873, 飛, fly
874, 留, stay - keep 
875, 泊, stay overnight - stay 
876, 富, rich
877, 鈍, dull
878, 無, without - nothing 
879, 亡, decease - dead 
880, 流, flow - current 
881, 鳴, cry - sound (from a bird...) 
882, 波, wave
883, 並, line up - line 
884, 涙, tear - teardrop 
885, 悩, suffer - worry 
886, 軟, soft
887, 任, office - entrust 
888, 認, recognize
889, 抜, pullout - stand out 
890, 布, cloth
891, 猫, cat
892, 眠, sleep
893, 練, to train - training 
894, 念, thoughts - remembering 
895, 燃, burn
896, 農, farming - farm 
897, 能, ability
898, 脳, brain
899, 望, hope - desire - expect 
900, 葉, leaf - leaves 
901, 破, tear - break 
902, 敗, defeated
903, 倍, times X - double 
904, 量, quantity
905, 麦, wheat
906, 爆, explode
907, 箱, box
908, 畑, field
909, 肌, skin
910, 法, law
911, 鼻, nose
912, 放, let go - separate 
913, 幅, width
914, 林, woods - forest 
915, 腹, belly - stomach 
916, 払, pay - clear away 
917, 判, judge
918, 版, print - publishing 
919, 般, sort - generally 
920, 販, sell
921, 番, order - turn - watch 
922, 晩, evening
923, 非, not - not good 
924, 匹, equal - counter for small animals 
925, 筆, brush - writing 
926, 兵, soldier
927, 秒, second
928, 貧, poor - poverty 
929, 瓶, bottle - vase 
930, 府, prefecture - agency 
931, 婦, woman
932, 符, symbol
933, 普, wide - universal - general 
934, 膚, skin
935, 部, department - section 
936, 武, military
937, 舞, dance
938, 封, seal
939, 福, fortune
940, 副, secondary
941, 復, return - again - return to 
942, 複, compound - complex 
943, 防, prevent
944, 沸, boil
945, 仏, buddha - france 
946, 報, report - information
947, 豊, plentiful - abundance 
948, 貿, trade
949, 忘, forget
950, 棒, stick - rod 
951, 坊, boy - priest 
952, 帽, headgear - headwear 
953, 欲, desire - want 
954, 磨, polish - brush (teeth) 
955, 枚, counter for sheets (paper)
956, 迷, perplexed - lost 
957, 満, full
958, 未, not yet - still to come 
959, 乱, disordered
960, 緑, green
961, 夢, dream
962, 娘, daughter - girl 
963, 綿, cotton
964, 戻, return
965, 約, promise - contract 
966, 由, reason
967, 輸, transport
968, 郵, mail
969, 予, advance
970, 良, good
971, 陽, sun - positive 
972, 容, appearance - container - contain 
973, 翌, following - the next 
974, 礼, etiquette - bow - rite 
975, 陸, land
976, 律, law - rhythm 
977, 略, abridged - strategy 
978, 両, both
979, 領, territory
980, 了, finish - comprehend 
981, 療, treat - treatment 
982, 輪, wheel - ring 
983, 類, kind - type 
984, 令, command
985, 零, zero
986, 齢, age
987, 歴, personal history - history 
988, 列, row - line 
989, 労, labor - effort 
990, 録, record
991, 論, argue - theory 
992, 湾, bay
993, 他, other - another 
994, 伝, transmit - report - tradition 
995, 顔, face
996, 団, group - association 
997, 対, opposite - versus - compare 
998, 舟, boat - ship 
999, 雲, cloud
1000, 巨, big - giant 
